"Surface Carrez du 1er lot","Surface Carrez du 2eme lot","Surface Carrez du 3eme lot","Surface Carrez du 4eme lot","Surface Carrez du 5eme lot","Nombre de lots","Type local","Surface reelle bati","Nombre pieces principales","Nature culture","Nature culture speciale","Surface terrain"
"19,28",,,,,1,"Appartement",19,1,,,
"55,5",,,,,2,"Appartement",61,2,,,
"73,48",,,,,2,"Appartement",75,4,,,
"75,06",,,,,1,"Appartement",74,3,,,
"83,46",,,,,1,"Appartement",82,4,,,
"89,06",,,,,1,"Maison",93,4,,,
"25,08",,,,,1,"Appartement",24,2,,,
"26,41",,,,,1,"Appartement",26,1,,,
"54,79",,,,,1,"Appartement",54,4,,,
"42,72",,,,,1,"Appartement",45,2,,,
"45,2",,,,,1,"Appartement",50,2,,,
"44,24",,,,,1,"Appartement",45,2,,,
"41,7",,,,,1,"Appartement",15,1,,,
"46,21",,,,,2,"Appartement",50,2,,,
"64,99",,,,,1,"Appartement",63,3,,,
"97,07",,,,,1,"Maison",87,4,,,
"27,5",,,,,1,"Appartement",27,1,,,
"54,64",,,,,1,"Appartement",56,3,,,
"44,2",,,,,2,"Appartement",52,2,,,
"16,61",,,,,1,"Appartement",17,1,,,
"46,42",,,,,2,"Appartement",47,2,,,
"25,44",,,,,1,"Appartement",26,2,,,
"17,31",,,,,1,"Appartement",18,1,,,
"22,9",,,,,1,"Appartement",39,1,,,
"46,93",,,,,1,"Appartement",30,2,,,
"38,9",,,,,1,"Appartement",40,2,,,
"152,65",,,,,1,"Appartement",110,5,,,
"36,42",,,,,2,"Appartement",40,1,,,
"25,95",,,,,1,"Appartement",38,1,,,
"53,81",,,,,1,"Appartement",53,2,,,
30,,,,,1,"Appartement",31,1,,,
"24,89",,,,,1,"Appartement",25,2,,,
"45,22",,,,,1,"Appartement",38,3,,,
"22,92",,,,,1,"Appartement",23,1,,,
"11,43",,,,,1,"Appartement",15,1,,,
"16,81",,,,,1,"Appartement",18,1,,,
"68,19",,,,,2,"Appartement",66,4,,,
"59,5",,,,,2,"Appartement",63,3,,,
"28,4",,,,,1,"Appartement",20,2,,,
"18,26",,,,,1,"Appartement",20,1,,,
"28,9",,,,,1,"Maison",63,3,,,
"25,9",,,,,1,"Appartement",25,1,,,
30,,,,,1,"Appartement",28,1,,,
"29,85",,,,,1,"Appartement",29,1,,,
"21,71",,,,,1,"Maison",32,2,,,
"69,7",,,,,1,"Appartement",66,4,,,
"60,28",,,,,1,"Appartement",62,3,,,
"75,3",,,,,2,"Appartement",75,3,,,
"26,09",,,,,1,"Appartement",26,1,,,
"64,96",,,,,2,"Appartement",46,2,,,
"17,6",,,,,1,"Appartement",17,1,,,
"119,9",,,,,1,"Maison",121,4,"S",,506
"36,24",,,,,1,"Appartement",38,2,,,
"25,35",,,,,1,"Appartement",25,1,,,
"99,22",,,,,1,"Appartement",100,4,,,
28,,,,,1,"Appartement",28,1,,,
"27,45",,,,,1,"Appartement",25,1,,,
"245,13",,,,,1,"Maison",248,8,"S",,865
"56,04",,,,,1,"Appartement",40,2,,,
"50,05",,,,,1,"Appartement",54,2,,,
"20,5",,,,,1,"Maison",20,1,,,
"25,4",,,,,3,"Maison",110,4,,,
"130,2",,,,,1,"Appartement",114,5,,,
"17,14",,,,,1,"Appartement",17,1,,,
"56,19",,,,,1,"Appartement",58,3,,,
"50,04",,,,,1,"Maison",49,2,,,
"37,71",,,,,1,"Appartement",39,1,,,
"119,4",,,,,1,"Appartement",116,5,,,
"67,58",,,,,1,"Appartement",68,4,,,
"46,78",,,,,1,"Appartement",46,2,,,
"19,15",,,,,1,"Appartement",22,1,,,
"23,69",,,,,1,"Appartement",22,1,,,
"17,34",,,,,1,"Appartement",17,1,,,
"56,2",,,,,1,"Appartement",65,4,,,
"59,6",,,,,1,"Appartement",63,4,,,
"44,71",,,,,2,"Appartement",43,2,,,
"62,38",,,,,2,"Appartement",70,3,,,
"49,61",,,,,2,"Appartement",52,3,,,
"55,76",,,,,2,"Appartement",35,1,,,
"80,48",,,,,1,"Maison",47,4,"S",,285
"26,52",,,,,1,"Appartement",26,1,,,
"29,33",,,,,1,"Appartement",29,1,,,
"45,08",,,,,1,"Appartement",38,2,,,
"72,72",,,,,2,"Appartement",82,6,,,
"35,18",,,,,1,"Appartement",35,2,,,
"25,61",,,,,1,"Appartement",29,2,,,
32,,,,,1,"Appartement",32,2,,,
"69,45",,,,,2,"Appartement",65,3,,,
"78,84",,,,,2,"Appartement",78,4,,,
"37,09",,,,,1,"Appartement",40,2,,,
"65,39",,,,,1,"Appartement",85,3,,,
"47,48",,,,,1,"Appartement",61,2,,,
"26,1",,,,,1,"Appartement",25,1,,,
"40,92",,,,,1,"Appartement",40,1,,,
26,,,,,1,"Appartement",24,1,,,
67,,,,,2,"Appartement",66,4,,,
"56,5",,,,,2,"Appartement",63,3,,,
"38,5",,,,,1,"Appartement",39,2,,,
"42,7",,,,,1,"Appartement",40,2,,,
"16,7",,,,,1,"Appartement",17,1,,,
"0,4",,,,,3,"Appartement",26,1,,,
"59,66",,,,,1,"Maison",69,3,,,
"21,2",,,,,1,"Appartement",21,1,,,
"43,36",,,,,2,"Appartement",45,2,,,
"56,81",,,,,1,"Appartement",56,3,,,
"43,33",,,,,1,"Appartement",43,3,,,
"32,8",,,,,2,"Appartement",32,2,,,
"15,42",,,,,1,"Appartement",14,1,,,
"24,64",,,,,1,"Appartement",24,1,,,
"28,5",,,,,1,"Appartement",30,2,,,
"66,45",,,,,1,"Appartement",66,2,,,
"59,9",,,,,1,"Appartement",61,3,,,
"54,99",,,,,2,"Appartement",63,3,,,
"18,04",,,,,1,"Appartement",16,1,,,
"28,56",,,,,1,"Appartement",28,1,,,
"23,66",,,,,1,"Appartement",25,1,,,
"121,56",,,,,2,"Appartement",122,5,,,
"30,72",,,,,1,"Appartement",30,2,,,
"32,97",,,,,1,"Appartement",33,2,,,
"28,61",,,,,2,"Appartement",30,1,,,
"30,74",,,,,1,"Appartement",29,2,,,
"30,59",,,,,1,"Appartement",31,1,,,
"33,5",,,,,1,"Appartement",37,2,,,
"30,52",,,,,1,"Appartement",30,2,,,
"51,85",,,,,1,"Appartement",50,2,,,
"63,2",,,,,2,"Appartement",69,2,,,
"23,08",,,,,1,"Appartement",24,3,,,
"86,49",,,,,1,"Maison",70,3,,,
"36,44",,,,,1,"Appartement",36,2,,,
"28,96",,,,,2,"Appartement",30,2,,,
"26,42",,,,,1,"Appartement",25,1,,,
"49,06",,,,,2,"Appartement",49,2,,,
"100,11",,,,,1,"Maison",100,5,,,
"89,03",,,,,1,"Maison",82,4,,,
"43,44",,,,,2,"Appartement",44,2,,,
"119,95",,,,,3,"Appartement",126,4,,,
"25,1",,,,,3,"Appartement",62,4,,,
"49,55",,,,,1,"Appartement",57,3,,,
"26,62",,,,,1,"Appartement",25,1,,,
"28,79",,,,,1,"Appartement",28,2,,,
"18,63",,,,,1,"Appartement",18,1,,,
14,,,,,1,"Appartement",53,4,,,
"16,99",,,,,1,"Appartement",17,1,,,
"68,23",,,,,2,"Appartement",66,3,,,
"21,48",,,,,2,"Appartement",22,2,,,
"16,9",,,,,1,"Appartement",17,1,,,
"101,99",,,,,1,"Appartement",100,4,,,
"54,25",,,,,1,"Appartement",61,3,,,
"26,78",,,,,1,"Appartement",27,1,,,
"27,06",,,,,1,"Appartement",27,1,,,
"34,97",,,,,1,"Appartement",35,2,,,
"18,45",,,,,1,"Appartement",19,1,,,
"39,3",,,,,2,"Appartement",39,3,,,
