"Numvoie","B_T_Q","TypeDeVoie","Voie","CodePostal","Commune"
2,"B","RUE","JEAN DELAPLACE",2200,"SOISSONS"
1,,"RUE","DE LA SURCHETTE",2200,"SOISSONS"
18,,"RUE","QUINQUET",2200,"SOISSONS"
1,,"RUE","DU PONT DE LA TOURNELLE",2290,"VIC SUR AISNE"
7,,"RUE","DE FONTENOY",2290,"VIC SUR AISNE"
,,,"LA FOSSE SALMON",2600,"VILLERS-COTTERETS"
19,,"RUE","SAINT DENIS",2600,"LARGNY SUR AUTOMNE"
3,,"RUE","ROGER SALENGRO",2600,"VILLERS-COTTERETS"
18,,"RUE","DU CHAMP BOUILLANT",2200,"SOISSONS"
3,,"RUE","DE LA RESISTANCE",2200,"SOISSONS"
14,,"RUE","PORTE CROUY",2200,"SOISSONS"
2,,"CHT","DE LA QUINCY",2880,"NANTEUIL LA FOSSE"
8,,"PTR","PETITE RUE SAINT VINCENT",2370,"VAILLY-SUR-AISNE"
2,,"RUE","DE BAPAUME",2600,"VILLERS-COTTERETS"
10,,"PL","DE LAON",2200,"SOISSONS"
1,"B","RUE","DES GRAVIERS",2200,"SOISSONS"
15,"B","RUE","DU CHAMP BOUILLANT",2200,"SOISSONS"
20,,"RUE","NOTRE DAME",2200,"SOISSONS"
17,,"RUE","ALEXANDRE DUMAS",2600,"VILLERS-COTTERETS"
5,"A","RUE","FERNAND BAZIN",2600,"COEUVRES ET VALSERY"
5,,"PL","DU DOCTEUR MOUFLIER",2600,"VILLERS-COTTERETS"
2,"B","BD","EDOUARD BRANLY",2200,"SOISSONS"
2,"B","BD","EDOUARD BRANLY",2200,"SOISSONS"
4,,"PL","DE LAON",2200,"SOISSONS"
16,,"RUE","D OULCHY LE CHATEAU",2200,"BELLEU"
12,,"AV","THIERS",2200,"SOISSONS"
4,,"RUE","JEAN MOULIN",2200,"SOISSONS"
3,"B","RUE","PORTE CROUY",2200,"SOISSONS"
5,,"PL","DU DOCTEUR MOUFLIER",2600,"VILLERS-COTTERETS"
30,,"AV","DU GENERAL DE GAULLE",2200,"SOISSONS"
9,,"RUE","VICTOR HUGO",2600,"VILLERS-COTTERETS"
41,,"RUE","DU GRAND MONTOIR",2600,"VILLERS-COTTERETS"
7,,"RUE","DE PANLEU",2200,"SOISSONS"
30,,"AV","DU GENERAL DE GAULLE",2200,"SOISSONS"
10,,"PL","DE LAON",2200,"SOISSONS"
5,"D","RUE","FERNAND BAZIN",2600,"COEUVRES ET VALSERY"
2,"B","BD","EDOUARD BRANLY",2200,"SOISSONS"
2,"B","BD","EDOUARD BRANLY",2200,"SOISSONS"
22,,"BD","JEANNE D ARC",2200,"SOISSONS"
12,,"AV","DE LA MARE AUX CANES",2400,"CHATEAU THIERRY"
3,,"PL","DE L HOTEL DE VILLE",2400,"CHATEAU THIERRY"
50,,"GR","GRANDE RUE",2400,"CHATEAU THIERRY"
1,,"RES","RENOIR",2400,"CHATEAU THIERRY"
2,,"RUE","PAUL CLAUDEL",2130,"FERE EN TARDENOIS"
22,,"RUE","DE LA FRATERNITE",3000,"MOULINS"
2,,"RUE","DENAIN",3000,"MOULINS"
22,,"RUE","DE LA FRATERNITE",3000,"MOULINS"
22,,"RUE","DE LA FRATERNITE",3000,"MOULINS"
14,,"RUE","CHARLES PEGUY",3000,"MOULINS"
4,,"RES","PARC MONTFAULT",3400,"YZEURE"
11,,"RUE","DU VERT GALANT",3000,"MOULINS"
16,,"IMP","DU PRE DE MOLLES",3400,"YZEURE"
84,,"RTE","DE LYON",3400,"YZEURE"
3,,"RUE","JACQUES VINCENT",3400,"YZEURE"
24,,"RUE","GASPARD ROUX",3000,"MOULINS"
1,"B","AV","DU DRAPEAU",3300,"CUSSET"
71,,"RUE","JEAN JAURES",3200,"VICHY"
2,,"RUE","MONTIGNAC",3200,"VICHY"
2,,"RUE","DU 11 NOVEMBRE",3200,"VICHY"
10,,"RUE","DUCHON",3200,"VICHY"
4,,"RUE","HUBERT COLOMBIER",3200,"VICHY"
9003,,"PL","DE L HORLOGE",4200,"SISTERON"
7102,,"PL","DE L ENGIEN",4500,"RIEZ"
7003,,"RES","LES MELEZES",4400,"ENCHASTRAYES"
9500,,"TRA","DU CAMPING",4160,"CHATEAU-ARNOUX-SAINT-AUBAN"
1,,"RUE","DES MONGES",4000,"DIGNE-LES-BAINS"
7066,,,"STATION DE SAINT JEAN",4140,"MONTCLAR"
9002,,"PL","DU DOCTEUR ROBERT",4200,"SISTERON"
7192,,,"LA CHAPELLE",4260,"ALLOS"
,,"PL","DES AIRES",4120,"CASTELLANE"
7078,,"RTE","DE MAZAGRAND",4850,"JAUSIERS"
7037,,,"LE VILLAGE",4340,"LE LAUZET UBAYE"
6,,"RUE","GRANDE",4140,"SEYNE"
7034,,,"ADRECH DE CHAUVET",4260,"ALLOS"
25,,"AV","FRANCOIS CUZIN",4000,"DIGNE-LES-BAINS"
20,,"RUE","DU VALLON DE FARINE",4000,"DIGNE-LES-BAINS"
7002,,,"STATION DE SAINT JEAN",4140,"MONTCLAR"
7042,,,"LE VILLAGE",4500,"SAINTE CROIX DU VERDON"
7398,,,"PONT DE LABRAU OUEST",4260,"ALLOS"
24,,"LOT","LOTISSEMENT DU BERARD",4400,"FAUCON-DE-BARCELONNETTE"
7052,,"RES","LES CHENEVRIERS",4400,"ENCHASTRAYES"
12,,"CHE","DES ALPAGES",4400,"BARCELONNETTE"
25,,"RUE","PRINCIPALE",4850,"JAUSIERS"
7300,,"CHE","DES BEAUMES",4800,"GREOUX-LES-BAINS"
39,,"BD","VICTOR HUGO",4000,"DIGNE-LES-BAINS"
9482,,"RES","LE VALLON DES SOURCES",4000,"DIGNE-LES-BAINS"
32,,"BD","VICTOR HUGO",4000,"DIGNE-LES-BAINS"
5081,,,"LE SUPERSAUZE",4400,"ENCHASTRAYES"
26,,,"LE PONT",4800,"SAINT-MARTIN-DE-BROMES"
7178,,,"PONT DE LABRAU",4260,"ALLOS"
2,"B","IMP","DE CARUPE",4200,"PEIPIN"
7153,,,"LES HAUTES PLAINES",4800,"GREOUX-LES-BAINS"
5112,,"RES","LES MARGUERITES",4400,"ENCHASTRAYES"
4,,"PL","DE LA MAIRIE",4000,"DIGNE-LES-BAINS"
5230,,,"LE SUPERSAUZE",4400,"ENCHASTRAYES"
7153,,,"LES HAUTES PLAINES",4800,"GREOUX-LES-BAINS"
6,,,"ANCIENNE RTE D FORCALQUIER",4130,"VOLX"
7096,,,"BEAUDINE",4300,"FORCALQUIER"
3,,"PL","DE LA REPUBLIQUE",4200,"SISTERON"
53,,"RUE","DELEUZE",4200,"SISTERON"
7023,,,"GRANDE MONTAGNE",4140,"SELONNET"
7052,,,"LES AUCHES",4260,"ALLOS"
181,,"ALL","DES AVETTES",4100,"MANOSQUE"
5,,"AV","MARCEL ANDRE",4300,"FORCALQUIER"
7218,,,"LACHAUD ET CHAUVET",4260,"ALLOS"
320,,"AV","DU DCT BERNARD FOUSSIER",4100,"MANOSQUE"
6,,"RUE","ANDRE HONNORAT",4400,"BARCELONNETTE"
155,,"RUE","DOC CASIMIR CAIRE",4300,"FORCALQUIER"
5637,"A","AV","DES THERMES",4800,"GREOUX-LES-BAINS"
7054,,,"LA CHAPELLE",4260,"ALLOS"
3,,"RUE","TANNERIE",4500,"RIEZ"
118,,"RUE","POTERIE",4200,"SISTERON"
1,,"REM","DES CORDELIERS",4300,"FORCALQUIER"
9002,"D",,"LES LAVANDES",4100,"MANOSQUE"
,,"RES","LES MARMOTTES BLEUES",4400,"UVERNET-FOURS"
5038,,,"LE VILLAGE",4200,"NOYERS-SUR-JABRON"
9,,"RUE","FONT CHAUDE",4200,"SISTERON"
7089,,,"SAINT PIERRE",4140,"SEYNE"
5154,,"RUE","DE LA FERRAILLE",4300,"PIERRERUE"
7215,,,"LA SESTRIERE",4260,"ALLOS"
3,,"TRA","DES EAUX CHAUDES",4000,"DIGNE-LES-BAINS"
1,,"RUE","JULES BOURDIN",4700,"ORAISON"
5637,"A","AV","DES THERMES",4800,"GREOUX-LES-BAINS"
14,,"ALL","DE PROVENCE",4100,"MANOSQUE"
5028,,"CHE","DE STE ANNETTE",4800,"GREOUX-LES-BAINS"
36,,"AV","HENRI JAUBERT",4000,"DIGNE-LES-BAINS"
117,,"AV","DES THERMES",4800,"GREOUX-LES-BAINS"
9001,,"RES","JEANNE D ARC",4100,"MANOSQUE"
20,,"RUE","MARIUS DEBOUT",4300,"FORCALQUIER"
7224,,,"LES HAUTES PLAINES",4800,"GREOUX-LES-BAINS"
,,"RES","PRA CHAUVET",4400,"UVERNET-FOURS"
7009,,,"ADRECH DE CHAUVET",4260,"ALLOS"
,,"RES","LES MELEZES",4400,"UVERNET-FOURS"
7215,,,"STATION DE SAINT JEAN",4140,"MONTCLAR"
7113,,,"LES SAGNES",4140,"SEYNE"
7024,,,"LES HAUTES PLAINES",4800,"GREOUX-LES-BAINS"
7023,,,"LES HAUTES PLAINES",4800,"GREOUX-LES-BAINS"
3,,"RUE","DU FRESQUIE",4300,"FORCALQUIER"
,,"RES","LE CEZANNE",4800,"GREOUX-LES-BAINS"
20,,"ALL","DE PROVENCE",4100,"MANOSQUE"
3,,"TRA","DES EAUX CHAUDES",4000,"DIGNE-LES-BAINS"
7102,,"RTE","DU LAC",4160,"L ESCALE"
5038,,,"LES VIEUX BAINS",4800,"GREOUX-LES-BAINS"
29,,"RUE","NATIONALE",4120,"CASTELLANE"
,,"RES","LE CHRISTIANA",4400,"UVERNET-FOURS"
5177,,"RUE","GRANDE",4180,"VILLENEUVE"
9013,,"BD","PAUL MARTIN NALIN",4100,"MANOSQUE"
11,,"RUE","DE L ANCIENNE MAIRIE",4000,"DIGNE-LES-BAINS"
9001,,,"LA COLETTE",4100,"MANOSQUE"
7028,,,"MAZAGRAND",4850,"JAUSIERS"
9001,,,"LA COLETTE",4100,"MANOSQUE"
8,,"MTE","DU CHASTEL",4850,"JAUSIERS"
5,"B","AV","DES THERMES",4000,"DIGNE-LES-BAINS"
,,"RES","LA BERANGERE",4400,"UVERNET-FOURS"
5004,,"AV","GEORGES DE SALVE",4210,"VALENSOLE"
30,,"AV","DES ARCADES",4200,"SISTERON"
15,,"CHE","DES AJONCS",4000,"DIGNE-LES-BAINS"
40,,"AV","JEAN MOULIN",4200,"SISTERON"
4,,"RUE","DES ALPES",4100,"MANOSQUE"
42,,"CHE","DES SALETTES",4160,"CHATEAU-ARNOUX-SAINT-AUBAN"
7091,,,"CHANTEMERLE",4140,"SEYNE"
7263,,"RES","LA PETITE OURSE 2",4260,"ALLOS"
28,,"RUE","DE L HUBAC",4000,"DIGNE-LES-BAINS"
,,"RES","L EDELWEISS",4400,"UVERNET-FOURS"
16,,"AV","SAINT PROMASSE",4300,"FORCALQUIER"
9491,,"CHE","DU LAC",4160,"CHATEAU-ARNOUX-SAINT-AUBAN"
20,,"RUE","DE LA REPUBLIQUE",4290,"VOLONNE"
7,,"RUE","GRENETTE",4400,"BARCELONNETTE"
12,,"RUE","LOUIS ANDRIEUX",4300,"FORCALQUIER"
156,,"RUE","PIERRE MAITRE",4220,"SAINTE-TULLE"
7024,,,"LES HAUTES PLAINES",4800,"GREOUX-LES-BAINS"
3,,"RLE","DES PRISONS",4300,"FORCALQUIER"
16,,"RUE","DE L ARMISTICE",4100,"MANOSQUE"
7197,,"RES","LE SCHUSS 3",4260,"ALLOS"
10,,"AV","MARCEL ANDRE",4300,"FORCALQUIER"
7089,,"AV","REINE DES ALPES",4400,"BARCELONNETTE"
7199,,,"LE SEIGNUS BAS",4260,"ALLOS"
7,,"PL","GENERAL DE GAULLE",4000,"DIGNE-LES-BAINS"
7464,,,"STATION DU GRAND PUY",4140,"SEYNE"
8,,"CHE","DES PASQUIERS",4400,"BARCELONNETTE"
5249,,"PL","DU FOUR",4230,"SAINT-ETIENNE-LES-ORGUES"
5031,,,"LE VILLAGE",4120,"DEMANDOLX"
5169,,,"LE VILLAGE",4330,"BARREME"
30,,"BD","CHARLES DE GAULLE",4100,"MANOSQUE"
,,"RES","LA TOVIERE",4400,"UVERNET-FOURS"
7076,,"RES","LES MELEZES ROI SOLEIL",4400,"ENCHASTRAYES"
7076,,"RES","LES MELEZES ROI SOLEIL",4400,"ENCHASTRAYES"
7076,,"RES","LES MELEZES ROI SOLEIL",4400,"ENCHASTRAYES"
7112,,,"LES AUCHES",4260,"ALLOS"
3,,"RUE","TRAVERSIERE",4400,"BARCELONNETTE"
9001,,,"LA LUQUECE",4100,"MANOSQUE"
70,,"AV","JEAN GIONO",4100,"MANOSQUE"
7199,,,"LE SEIGNUS BAS",4260,"ALLOS"
35,,"RUE","DU MITAN",4120,"CASTELLANE"
5135,,"RUE","DE COCODY",4850,"JAUSIERS"
,,"RES","LA SAPINIERE",4400,"UVERNET-FOURS"
7037,,,"LES PLAINES",4800,"GREOUX-LES-BAINS"
