"SurfaceCarrezLot1","SurfaceCarrezLot2","SurfaceCarrezLot3","SurfaceCarrezLot4","SurfaceCarrezLot5","NombreDeLot","SurfaceReelleBati","NombrePiecesPrincipale","SurfaceTerrain","TypeDeLocal","NatureCulture","NatureCultureSpeciale"
30.47,,,,,1,30,2,,"Appartement",,
28.33,,,,,1,29,1,,"Appartement",,
35.97,,,,,1,44,1,,"Appartement",,
20.85,,,,,1,32,2,,"Maison",,
20.55,,,,,1,21,1,,"Appartement",,
142.9,,,,,1,147,5,,"Appartement",,
18.44,,,,,1,18,1,,"Appartement",,
26.76,,,,,1,30,1,,"Appartement",,
53.1,,,,,1,51,2,,"Appartement",,
35.2,,,,,2,23,2,,"Appartement",,
18.84,,,,,1,18,1,,"Appartement",,
80.26,,,,,1,80,3,,"Appartement",,
76.81,,,,,3,74,4,,"Appartement",,
79.54,,,,,2,80,3,,"Appartement",,
72.07,,,,,1,85,2,,"Appartement",,
29.66,,,,,1,29,2,,"Appartement",,
29.03,,,,,1,37,2,,"Appartement",,
82.37,,,,,1,79,5,,"Maison",,
33.8,,,,,1,41,2,,"Appartement",,
19.72,,,,,1,19,1,,"Appartement",,
15,,,,,2,98,4,,"Appartement",,
58.96,,,,,1,60,3,,"Appartement",,
42.73,,,,,2,42,2,,"Appartement",,
25.32,,,,,1,27,1,,"Appartement",,
14.41,,,,,1,20,1,,"Appartement",,
38.97,,,,,1,60,2,,"Appartement",,
44.44,,,,,2,35,3,,"Appartement",,
27.26,,,,,1,29,1,,"Maison",,
83.88,,,,,2,84,5,,"Appartement",,
25.55,,,,,1,29,2,,"Appartement",,
40.4,,,,,1,38,1,,"Appartement",,
136.86,,,,,1,44,2,,"Appartement",,
90.75,,,,,1,87,4,,"Appartement",,
59.36,,,,,1,66,2,,"Maison",,
26.99,,,,,1,27,1,,"Appartement",,
67.22,,,,,1,68,3,,"Appartement",,
39.16,,,,,1,30,2,,"Appartement",,
25.07,,,,,1,27,1,,"Appartement",,
63.73,,,,,1,68,3,,"Appartement",,
102.87,,,,,1,100,4,,"Appartement",,
82.11,,,,,2,81,4,,"Appartement",,
23.35,,,,,2,24,1,,"Appartement",,
30.05,,,,,2,31,1,,"Appartement",,
49.2,,,,,1,51,2,,"Appartement",,
24.25,,,,,1,24,1,,"Appartement",,
37.55,,,,,1,36,2,,"Appartement",,
108.85,,,,,1,81,2,,"Appartement",,
73.99,,,,,1,59,3,,"Appartement",,
28.02,,,,,1,28,1,,"Appartement",,
22.91,,,,,1,27,1,,"Appartement",,
27.36,,,,,1,27,1,,"Appartement",,
27.22,,,,,1,27,1,,"Appartement",,
92.94,,,,,1,95,4,,"Maison",,
30.95,,,,,1,30,1,,"Appartement",,
62.43,,,,,1,60,2,,"Appartement",,
35.71,,,,,1,36,1,,"Appartement",,
61.53,,,,,1,61,2,,"Appartement",,
27.18,,,,,1,26,1,,"Appartement",,
18,,,,,1,18,1,,"Appartement",,
24.87,,,,,1,25,1,,"Appartement",,
62.85,,,,,1,70,3,,"Appartement",,
56.52,,,,,1,54,3,,"Appartement",,
52.45,,,,,1,70,4,,"Appartement",,
67,,,,,1,64,4,,"Appartement",,
28.48,,,,,1,28,1,,"Appartement",,
54.33,,,,,1,54,3,,"Appartement",,
35.65,,,,,1,46,2,,"Appartement",,
21.35,,,,,1,23,1,,"Appartement",,
32.84,,,,,1,33,1,,"Appartement",,
19.28,,,,,1,19,1,,"Appartement",,
55.5,,,,,2,61,2,,"Appartement",,
73.48,,,,,2,75,4,,"Appartement",,
75.06,,,,,1,74,3,,"Appartement",,
83.46,,,,,1,82,4,,"Appartement",,
89.06,,,,,1,93,4,,"Maison",,
25.08,,,,,1,24,2,,"Appartement",,
26.41,,,,,1,26,1,,"Appartement",,
54.79,,,,,1,54,4,,"Appartement",,
42.72,,,,,1,45,2,,"Appartement",,
45.2,,,,,1,50,2,,"Appartement",,
44.24,,,,,1,45,2,,"Appartement",,
41.7,,,,,1,15,1,,"Appartement",,
46.21,,,,,2,50,2,,"Appartement",,
64.99,,,,,1,63,3,,"Appartement",,
97.07,,,,,1,87,4,,"Maison",,
27.5,,,,,1,27,1,,"Appartement",,
54.64,,,,,1,56,3,,"Appartement",,
44.2,,,,,2,52,2,,"Appartement",,
16.61,,,,,1,17,1,,"Appartement",,
46.42,,,,,2,47,2,,"Appartement",,
25.44,,,,,1,26,2,,"Appartement",,
17.31,,,,,1,18,1,,"Appartement",,
22.9,,,,,1,39,1,,"Appartement",,
46.93,,,,,1,30,2,,"Appartement",,
38.9,,,,,1,40,2,,"Appartement",,
152.65,,,,,1,110,5,,"Appartement",,
36.42,,,,,2,40,1,,"Appartement",,
25.95,,,,,1,38,1,,"Appartement",,
53.81,,,,,1,53,2,,"Appartement",,
