"IDCommune","CodePostal","Commune"
631,28310,"TOURY"
632,28320,"GALLARDON"
633,28320,"GAS"
634,28350,"ST LUBIN DES JONCHERETS"
635,28380,"ST REMY SUR AVRE"
636,28400,"NOGENT LE ROTROU"
637,28500,"VERNOUILLET"
638,28600,"LUISANT"
639,28630,"LE COUDRAY"
640,28700,"AUNEAU-BLEURY-SAINT-SYMPHORIEN"
641,29000,"QUIMPER"
642,29100,"DOUARNENEZ"
643,29160,"CROZON"
644,29200,"BREST"
645,29290,"SAINT RENAN"
646,29300,"QUIMPERLE"
647,29360,"CLOHARS CARNOET"
648,29400,"LANDIVISIAU"
649,29460,"DIRINON"
650,29470,"PLOUGASTEL-DAOULAS"
651,29550,"SAINT-NIC"
652,29570,"CAMARET-SUR-MER"
653,29600,"MORLAIX"
654,29600,"SAINT-MARTIN-DES-CHAMPS"
655,29630,"PLOUGASNOU"
656,29660,"CARANTEC"
657,29680,"ROSCOFF"
658,29800,"LANDERNEAU"
659,29900,"CONCARNEAU"
660,29930,"PONT-AVEN"
661,30000,"NIMES"
662,30100,"ALES"
663,30110,"LA GRAND COMBE"
664,30120,"LE VIGAN"
665,30127,"BELLEGARDE"
666,30128,"GARONS"
667,30130,"PONT ST ESPRIT"
668,30130,"SAINT-PAULET-DE-CAISSON"
669,30132,"CAISSARGUES"
670,30133,"LES ANGLES"
671,30140,"ANDUZE"
672,30150,"ROQUEMAURE"
673,30160,"BESSEGES"
674,30170,"DURFORT-ET-SAINT-MARTIN-DE-"
675,30170,"ST HIPPOLYTE DU FORT"
676,30190,"GARRIGUES SAINTE EULALIE"
677,30190,"LA CALMETTE"
678,30190,"SAINT-GENIES-DE-MALGOIRES"
679,30200,"SAINT-NAZAIRE"
680,30200,"BAGNOLS SUR CEZE"
681,30210,"REMOULINS"
682,30210,"CASTILLON-DU-GARD"
683,30210,"SAINT-HILAIRE-D OZILHAN"
684,30210,"SERNHAC"
685,30220,"AIGUES-MORTES"
686,30220,"SAINT-LAURENT-D AIGOUZE"
687,30230,"BOUILLARGUES"
688,30230,"RODILHAN"
689,30240,"LE GRAU DU ROI"
690,30250,"SOMMIERES"
691,30260,"SARDAN"
692,30260,"QUISSAC"
693,30290,"LAUDUN-L ARDOISE"
694,30300,"BEAUCAIRE"
695,30320,"MARGUERITTES"
696,30320,"POULX"
697,30400,"VILLENEUVE LES AVIGNON"
698,30410,"MOLIERES-SUR-CEZE"
699,30420,"CALVISSON"
700,30440,"SUMENE"
701,30460,"LASALLE"
702,30470,"AIMARGUES"
703,30490,"MONTFRIN"
704,30510,"GENERAC"
705,30530,"PORTES"
706,30540,"MILHAUD"
707,30600,"VAUVERT"
708,30610,"SAUVE"
709,30620,"BERNIS"
710,30620,"AUBORD"
711,30650,"ROCHEFORT-DU-GARD"
712,30650,"SAZE"
713,30660,"GALLARGUES-LE-MONTUEUX"
714,30670,"AIGUES-VIVES"
715,30700,"UZES"
716,30700,"MONTAREN-ET-SAINT-MEDIERS"
717,30770,"ARRIGAS"
718,30800,"ST GILLES"
719,30820,"CAVEIRAC"
720,30840,"MEYNES"
721,30870,"CLARENSAC"
722,30900,"NIMES"
723,30920,"CODOGNAN"
724,30940,"SAINT ANDRE DE VALBORGNE"
725,30960,"SAINT-FLORENT-SUR-AUZONNET"
726,30980,"SAINT-DIONISY"
727,31000,"TOULOUSE"
728,31100,"TOULOUSE"
729,31120,"LACROIX FALGARDE"
730,31130,"BALMA"
731,31130,"FLOURENS"
732,31140,"FONBEAUZARD"
733,31140,"AUCAMVILLE"
734,31140,"LAUNAGUET"
735,31150,"FENOUILLET"
736,31150,"GAGNAC SUR GARONNE"
737,31170,"TOURNEFEUILLE"
738,31180,"ROUFFIAC TOLOSAN"
739,31200,"TOULOUSE"
740,31240,"L UNION"
741,31240,"ST JEAN"
742,31250,"REVEL"
743,31270,"CUGNAUX"
744,31270,"FROUZINS"
745,31280,"DREMIL LAFAGE"
746,31290,"VILLEFRANCHE-DE-LAURAGAIS"
747,31300,"TOULOUSE"
748,31320,"CASTANET TOLOSAN"
749,31320,"AUZEVILLE-TOLOSANE"
750,31330,"GRENADE SUR GARONNE"
751,31340,"VILLEMUR SUR TARN"
752,31380,"MONTASTRUC LA CONSEILLERE"
753,31400,"TOULOUSE"
754,31450,"POMPERTUZAT"
755,31450,"BAZIEGE"
756,31500,"TOULOUSE"
757,31520,"RAMONVILLE ST AGNE"
758,31560,"NAILLOUX"
759,31570,"LANTA"
760,31620,"FRONTON"
761,31650,"ST ORENS DE GAMEVILLE"
762,31660,"BESSIERES"
763,31670,"LABEGE"
764,31700,"BLAGNAC"
765,31700,"MONDONVILLE"
766,31700,"BEAUZELLE"
767,31750,"ESCALQUENS"
768,31770,"COLOMIERS"
769,31780,"CASTELGINEST"
770,31840,"AUSSONNE"
771,31880,"LA SALVETAT ST GILLES"
772,32000,"AUCH"
773,32100,"CONDOM"
774,32150,"CAZAUBON"
775,32200,"GIMONT"
776,32600,"L ISLE JOURDAIN"
777,33000,"BORDEAUX"
778,33100,"BORDEAUX"
779,33110,"LE BOUSCAT"
780,33112,"SAINT LAURENT MEDOC"
781,33114,"LE BARP"
782,33115,"LA TESTE-DE-BUCH"
783,33120,"ARCACHON"
784,33121,"CARCANS"
785,33123,"LE VERDON SUR MER"
786,33127,"SAINT JEAN D ILLAC"
787,33127,"MARTIGNAS SUR JALLE"
788,33130,"BEGLES"
789,33138,"LANTON"
790,33140,"VILLENAVE D ORNON"
791,33140,"CADAUJAC"
792,33150,"CENON"
793,33160,"SAINT AUBIN DE MEDOC"
794,33160,"SAINT MEDARD EN JALLES"
795,33170,"GRADIGNAN"
796,33180,"VERTHEUIL"
797,33185,"LE HAILLAN"
798,33190,"LA REOLE"
799,33200,"BORDEAUX"
800,33210,"TOULENNE"
801,33210,"LANGON"
802,33210,"PREIGNAC"
803,33220,"PORT-SAINTE-FOY-ET-PONCHAPT"
804,33220,"PINEUILH"
805,33220,"SAINTE-FOY-LA-GRANDE"
806,33230,"COUTRAS"
807,33240,"SAINT GERVAIS"
