Code Domaine,Domaine,Code zone (FAO),Zone,Code Élément,Élément,Code Produit (FAO),Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole
"SCL","Compte Disponibilités et Utilisations (CDU)","12","Bahamas","5510","Production","56","Maïs","2019","2019","tonnes","666","Im","Données de la FAO basées sur une méthodologie d'imputation"
"SCL","Compte Disponibilités et Utilisations (CDU)","12","Bahamas","5510","Production","79","Mils","2019","2019","tonnes","0","M","Donnée non disponible"
"SCL","Compte Disponibilités et Utilisations (CDU)","16","Bangladesh","5510","Production","101","Alpiste","2019","2019","tonnes","0","M","Donnée non disponible"
"SCL","Compte Disponibilités et Utilisations (CDU)","16","Bangladesh","5510","Production","15","Blé","2019","2019","tonnes","1016811","","Donnée officielle"
"SCL","Compte Disponibilités et Utilisations (CDU)","16","Bangladesh","5510","Production","56","Maïs","2019","2019","tonnes","3569321","","Donnée officielle"
"SCL","Compte Disponibilités et Utilisations (CDU)","16","Bangladesh","5510","Production","79","Mils","2019","2019","tonnes","9200","Im","Données de la FAO basées sur une méthodologie d'imputation"
"SCL","Compte Disponibilités et Utilisations (CDU)","16","Bangladesh","5510","Production","44","Orge","2019","2019","tonnes","157","","Donnée officielle"
"SCL","Compte Disponibilités et Utilisations (CDU)","16","Bangladesh","5510","Production","27","Riz, paddy","2019","2019","tonnes","54586344","","Donnée officielle"
"SCL","Compte Disponibilités et Utilisations (CDU)","16","Bangladesh","5510","Production","83","Sorgho","2019","2019","tonnes","87","","Donnée officielle"
"SCL","Compte Disponibilités et Utilisations (CDU)","14","Barbade","5510","Production","56","Maïs","2019","2019","tonnes","42","","Donnée officielle"
"SCL","Compte Disponibilités et Utilisations (CDU)","57","Bélarus","5510","Production","75","Avoine","2019","2019","tonnes","368252","","Donnée officielle"
"SCL","Compte Disponibilités et Utilisations (CDU)","57","Bélarus","5510","Production","15","Blé","2019","2019","tonnes","2308840","","Donnée officielle"
"SCL","Compte Disponibilités et Utilisations (CDU)","57","Bélarus","5510","Production","108","Ceréales nda","2019","2019","tonnes","22638","","Donnée officielle"
"SCL","Compte Disponibilités et Utilisations (CDU)","57","Bélarus","5510","Production","56","Maïs","2019","2019","tonnes","1093369","","Donnée officielle"
"SCL","Compte Disponibilités et Utilisations (CDU)","57","Bélarus","5510","Production","79","Mils","2019","2019","tonnes","18016","","Donnée officielle"
"SCL","Compte Disponibilités et Utilisations (CDU)","57","Bélarus","5510","Production","44","Orge","2019","2019","tonnes","1098189","","Donnée officielle"
"SCL","Compte Disponibilités et Utilisations (CDU)","57","Bélarus","5510","Production","89","Sarrasin, blé noir","2019","2019","tonnes","16959","","Donnée officielle"
"SCL","Compte Disponibilités et Utilisations (CDU)","57","Bélarus","5510","Production","71","Seigle","2019","2019","tonnes","755547","","Donnée officielle"
"SCL","Compte Disponibilités et Utilisations (CDU)","57","Bélarus","5510","Production","97","Triticale","2019","2019","tonnes","1310421","","Donnée officielle"
"SCL","Compte Disponibilités et Utilisations (CDU)","255","Belgique","5510","Production","75","Avoine","2019","2019","tonnes","20170","","Donnée officielle"
"SCL","Compte Disponibilités et Utilisations (CDU)","255","Belgique","5510","Production","15","Blé","2019","2019","tonnes","1902380","","Donnée officielle"
"SCL","Compte Disponibilités et Utilisations (CDU)","255","Belgique","5510","Production","103","Céréales mélangées","2019","2019","tonnes","0","","Donnée officielle"
